sku,product_title,variant_title,base_cost_usd,type,shape,metal,engravings,artwork_min_w,artwork_min_h
SO-10205016,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10205017,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10205018,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10205019,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10219293,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-10219294,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-10219295,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-10219296,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-10221641,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-10221642,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-10221643,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-10221644,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-10224217,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace (Gold),16.00,,,,,1000,1000
SO-10224218,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace,11.00,,,,,1000,1000
SO-10224219,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace (Gold),24.50,,,,,1000,1000
SO-10224220,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace,19.50,,,,,1000,1000
SO-10282838,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
