sku,product_title,variant_title,base_cost_usd,type,shape,metal,engravings,artwork_min_w,artwork_min_h
SO-8382785,Custom Name Necklace,Custom Name Necklace (w/MC),21.50,,,,,1000,1000
SO-8408720,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-8408721,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-8408722,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-8408723,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-8441661,Custom Name Necklace,Custom Name Necklace (w/MC),13.00,,,,,1000,1000
SO-8441662,Custom Name Necklace,Custom Name Necklace (w/MC),21.50,,,,,1000,1000
SO-8452390,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-8452391,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-8452392,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-8452393,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-8488025,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-8488026,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-8488027,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-8488028,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-8708494,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-8708495,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-8708496,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-8708497,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-8737663,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-8737664,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-8737665,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-8737666,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-8804884,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-8804885,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-8804886,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-8804887,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-8848328,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-8848329,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-8848330,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-8848331,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-8871635,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-8871636,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-8871637,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-8871638,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-8871915,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-8871922,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-8871923,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-8871924,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-8872205,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-8872206,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-8872207,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-8872208,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-8900286,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-8900287,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-8900288,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-8900289,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-8902176,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-8902177,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-8902178,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-8902179,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-8926716,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-8926717,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-8926718,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-8926719,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-8942507,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-8942508,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-8942509,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-8942510,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-8942638,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-8942639,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-8942640,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-8942641,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-8973797,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-8973798,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-8973799,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-8973800,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-8977329,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-8977331,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-8977332,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-8977333,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-9028919,CZ Cross Necklace,CZ Cross Necklace,15.30,,,,,1000,1000
SO-9028920,CZ Cross Necklace,CZ Cross Necklace w/ Wood Box,27.80,,,,,1000,1000
SO-9041771,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-9041772,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-9041773,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-9041774,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-9042337,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-9042338,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-9042339,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-9042340,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-9065113,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-9065114,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-9065115,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-9065116,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-9065971,Eternal Hope Necklace,Eternal Hope Necklace (Standard Box + MC),12.00,,,,,1000,1000
SO-9065974,Eternal Hope Necklace,Eternal Hope Necklace with Luxury Box & MC,20.50,,,,,1000,1000
SO-9096370,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-9096371,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-9096372,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-9096373,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-9102818,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-9102819,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-9102820,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-9102821,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-9117768,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,,,,,1000,1000
SO-9117769,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,11.00,,,,,1000,1000
SO-9117770,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),24.50,,,,,1000,1000
SO-9117771,Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace,19.50,,,,,1000,1000
SO-9206175,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace (Gold),17.00,,,,,1000,1000
SO-9206179,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace,12.00,,,,,1000,1000
SO-9206180,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace (Gold),25.50,,,,,1000,1000
SO-9206181,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace,20.50,,,,,1000,1000
